type,algorithm,N,seed,timeout,max_fringe,cost,length,expanded,filename
graph,ucs,8,2,False,900619,4,5,83904,hlog-graph-ucs_N8_S2.log
tree,ucs,10,3,False,,,,,hlog-tree-ucs_N10_S3.log
tree,astar,4,3,False,56,4,5,5,hlog-tree-astar_N4_S3.log
tree,ucs,6,3,False,258594,3,4,8917,hlog-tree-ucs_N6_S3.log
graph,astar,9,2,False,382,5,6,6,hlog-graph-astar_N9_S2.log
graph,astar,5,1,False,62,3,4,4,hlog-graph-astar_N5_S1.log
tree,astar,5,2,False,77,4,5,4,hlog-tree-astar_N5_S2.log
graph,ucs,8,1,False,3329571,5,6,613530,hlog-graph-ucs_N8_S1.log
tree,astar,8,2,False,221,4,5,4,hlog-tree-astar_N8_S2.log
tree,ucs,10,4,False,,,,,hlog-tree-ucs_N10_S4.log
graph,ucs,4,4,False,122,2,3,45,hlog-graph-ucs_N4_S4.log
graph,ucs,5,5,False,1154,3,4,475,hlog-graph-ucs_N5_S5.log
graph,ucs,4,5,False,117,3,4,117,hlog-graph-ucs_N4_S5.log
tree,astar,4,4,False,23,2,3,2,hlog-tree-astar_N4_S4.log
tree,astar,7,5,False,370,3,4,9,hlog-tree-astar_N7_S5.log
graph,astar,7,4,False,145,4,5,4,hlog-graph-astar_N7_S4.log
tree,ucs,8,1,False,,,,,hlog-tree-ucs_N8_S1.log
tree,astar,5,4,False,58,2,3,3,hlog-tree-astar_N5_S4.log
graph,astar,5,3,False,49,3,4,3,hlog-graph-astar_N5_S3.log
tree,ucs,6,1,False,17305896,4,5,596755,hlog-tree-ucs_N6_S1.log
tree,ucs,5,4,False,7563,2,3,398,hlog-tree-ucs_N5_S4.log
graph,ucs,7,2,False,146016,4,5,37921,hlog-graph-ucs_N7_S2.log
tree,astar,6,3,False,233,3,4,8,hlog-tree-astar_N6_S3.log
graph,ucs,7,3,False,54697,4,5,10208,hlog-graph-ucs_N7_S3.log
tree,ucs,8,4,False,,,,,hlog-tree-ucs_N8_S4.log
tree,ucs,7,4,False,2626461,3,4,64060,hlog-tree-ucs_N7_S4.log
graph,ucs,5,3,False,747,3,4,212,hlog-graph-ucs_N5_S3.log
graph,astar,4,4,False,20,2,3,2,hlog-graph-astar_N4_S4.log
graph,ucs,10,1,False,,,,,hlog-graph-ucs_N10_S1.log
graph,astar,8,2,False,198,4,5,4,hlog-graph-astar_N8_S2.log
tree,ucs,6,2,True,,,,,hlog-tree-ucs_N6_S2.log
tree,astar,9,1,False,1989,8,9,28,hlog-tree-astar_N9_S1.log
tree,astar,4,1,False,34,3,4,3,hlog-tree-astar_N4_S1.log
